0,1,2,3,4
Molino nº 327 - CAN PISCULI,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 328 - Prop. D. MIGUEL RIGO RIGO,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 364- ES PALMER,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 366- ES PALMER/2,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 580- C AN VERGER,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.00
Molino nº 117 - CAN NOFRE MAS,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 125 - S'Hort d'en Guillem Besso,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 133 - SHORT D EN PUIG,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.00
Molino nº 137 - SHORT D EN GROC,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 139 - Prop. D Francisca Fullana,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 141 - CAN PAULO,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 142 - CAMI DE SA PEDRA REDONA,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 143 - Prop. D SEBASTIANA LLADO,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 146 - S HORT DE C AS XIRIMIER,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 147 - Prop. D' MARIA JAUME,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 148 - Cami de ca nº Valls,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 149 - D EN MIQUEL CAMPOS,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 158 - CAN COLL,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 163 - CAN DAMIA,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 192 - Cami de Sa Caseta des Tren,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 207 - CA NA BEL,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 211 - Prop. D. ANTONIO VAQUER,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 221 - S HORT D EN FRARE,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.00
Molino nº 243 - Sa Vinya de sa Canova / 2,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 250 - FORMATGES BURGUERA,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 269 - CAN MONTSERRAT,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 298 - D?A. ANGELA CANET,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 3 - S'Hort d'en Sirvela,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 326 - CAN CORONELL,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 331 - CAN VIDAL,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 5 - S HORT D EN BROU 2,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
Molino nº 6 - S'Hort d'en Rubi,Baleares,Término Municipal:,AYUNTAMIENTO DE CAMPOS,0.01
